sex,networks,relationships,interested_in,bio,favorite_quotations,religious_views,political_views,friendlist,photos_albums,myposts,websites,address,im_screen_name,email,facebookuri,phone,family,brithday,current_city,hometown,activities,interests,employers,grad_school,college,high_school
Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,N
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y
Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,Y,Y,Y,Y
Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N
Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N
Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,Y,N
Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,N
Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N
Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y
Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N
Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N
Y,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,N,N
Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N
Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,Y
Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
