1188314934,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
driftingice,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,
100000431507538,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,
100001655133539,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,
1173057982,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,
608684126,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,
673456947,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
509306598,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,
owenfirst.li,N,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,
1384297984,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
caicono,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,
1220160445,N,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
phCathay,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,N,
ducaihua,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,
100000036381476,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,
ratih.kusumawardani,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,
